s1,rep,model,device,policy,tau,LB,gap_pct,batches,U_tot,peak_resident,validate_s
0.1,0,Qwen3-4B-FP8,H100-SXM-80GB,task,12.08444910943958,12.084449109439579,1.4699526832486532e-14,4,3247026,996848.0,0.03
0.1,0,Qwen3-4B-FP8,H100-SXM-80GB,pipe,13.044682326316805,13.044376334392917,0.00234577657102038,5,3514841,996875.0,0.03
0.1,0,Qwen3-4B-FP8,H100-SXM-80GB,fullspec,14.728641087833644,14.728641087833646,-1.2060561655396581e-14,4,3965841,996827.0,0.05
0.1,0,Qwen3-4B-FP8,L40S-48GB,task,32.683763341080095,32.6837633410801,-2.173993026277429e-14,7,3252500,562846.0,0.03
0.1,0,Qwen3-4B-FP8,L40S-48GB,pipe,35.210728659248545,35.209397904681566,0.0037795436621255356,8,3513941,562844.0,0.04
0.1,0,Qwen3-4B-FP8,L40S-48GB,fullspec,39.76532157274596,39.765321572745954,1.786840160364971e-14,8,3965841,562810.0,0.06
0.1,0,Qwen3-32B-FP8,H100-SXM-80GB,task,103.93534419037346,103.93534419037346,0.0,10,3265423,339483.0,0.03
0.1,0,Qwen3-32B-FP8,H100-SXM-80GB,pipe,111.77819677993938,111.77819677993938,0.0,13,3516041,339453.0,0.04
0.1,0,Qwen3-32B-FP8,H100-SXM-80GB,fullspec,126.11430700187124,126.11430700187127,-2.2536467198747156e-14,12,3965841,339489.0,0.04
0.1,0,Qwen3-32B-FP8,L40S-48GB,task,281.39548537775255,281.39548537775255,0.0,36,3274602,95367.0,0.05
0.1,0,Qwen3-32B-FP8,L40S-48GB,pipe,301.9127943085693,301.9064785589861,0.002091955632522834,42,3517441,95367.0,0.06
0.1,0,Qwen3-32B-FP8,L40S-48GB,fullspec,340.49142367899486,340.49142367899486,0.0,42,3965841,95355.0,0.07
0.1,1,Qwen3-4B-FP8,H100-SXM-80GB,task,12.158256151667388,12.158256151667388,0.0,4,3266818,996848.0,0.03
0.1,1,Qwen3-4B-FP8,H100-SXM-80GB,pipe,13.054707290446231,13.054332649292968,0.002869860630394546,5,3517491,996764.0,0.04
0.1,1,Qwen3-4B-FP8,H100-SXM-80GB,fullspec,14.728641087833644,14.728641087833646,-1.2060561655396581e-14,4,3965841,996827.0,0.04
0.1,1,Qwen3-4B-FP8,L40S-48GB,task,32.884292372728666,32.884292372728666,0.0,7,3272222,562846.0,0.03
0.1,1,Qwen3-4B-FP8,L40S-48GB,pipe,35.229684612923485,35.22840124764691,0.0036429847257502773,8,3515791,562865.0,0.06
0.1,1,Qwen3-4B-FP8,L40S-48GB,fullspec,39.76532157274596,39.765321572745954,1.786840160364971e-14,8,3965841,562810.0,0.04
0.1,1,Qwen3-32B-FP8,H100-SXM-80GB,task,104.45168347762922,104.45168347762922,0.0,10,3281716,339483.0,0.03
0.1,1,Qwen3-32B-FP8,H100-SXM-80GB,pipe,111.87689017293705,111.87689017293705,0.0,13,3519141,339482.0,0.04
0.1,1,Qwen3-32B-FP8,H100-SXM-80GB,fullspec,126.11430700187124,126.11430700187127,-2.2536467198747156e-14,12,3965841,339489.0,0.05
0.1,1,Qwen3-32B-FP8,L40S-48GB,task,280.15460951084424,280.15460951084424,0.0,36,3260228,95367.0,0.05
0.1,1,Qwen3-32B-FP8,L40S-48GB,pipe,301.7851387343357,301.78513873433565,1.8835725012571882e-14,41,3516041,95367.0,0.06
0.1,1,Qwen3-32B-FP8,L40S-48GB,fullspec,340.49142367899486,340.49142367899486,0.0,42,3965841,95355.0,0.07
0.25,0,Qwen3-4B-FP8,H100-SXM-80GB,task,13.760536535102093,13.760536535102093,0.0,4,3697024,996848.0,0.03
0.25,0,Qwen3-4B-FP8,H100-SXM-80GB,pipe,13.323740134910537,13.323605874205752,0.0010076904559663984,6,3589591,996864.0,0.04
0.25,0,Qwen3-4B-FP8,H100-SXM-80GB,fullspec,14.728641087833644,14.728641087833646,-1.2060561655396581e-14,4,3965841,996827.0,0.06
0.25,0,Qwen3-4B-FP8,L40S-48GB,task,37.43253129503503,37.43253129503502,1.8981957970187958e-14,8,3724903,562846.0,0.03
0.25,0,Qwen3-4B-FP8,L40S-48GB,pipe,36.003399731851,36.001585030972414,0.005040613842479305,9,3592491,562874.0,0.04
0.25,0,Qwen3-4B-FP8,L40S-48GB,fullspec,39.76532157274596,39.765321572745954,1.786840160364971e-14,8,3965841,562810.0,0.04
0.25,0,Qwen3-32B-FP8,H100-SXM-80GB,task,118.33293498973397,118.33293498973396,1.2009213425184522e-14,12,3717880,339483.0,0.04
0.25,0,Qwen3-32B-FP8,H100-SXM-80GB,pipe,114.22583226129362,114.2258322612936,1.244101656680813e-14,14,3592841,339503.0,0.05
0.25,0,Qwen3-32B-FP8,H100-SXM-80GB,fullspec,126.11430700187124,126.11430700187127,-2.2536467198747156e-14,12,3965841,339489.0,0.05
0.25,0,Qwen3-32B-FP8,L40S-48GB,task,317.12064425459283,317.1206442545929,-1.7924856010059252e-14,40,3690201,95367.0,0.06
0.25,0,Qwen3-32B-FP8,L40S-48GB,pipe,307.9599312835482,307.9599312835482,0.0,47,3587791,95362.0,0.07
0.25,0,Qwen3-32B-FP8,L40S-48GB,fullspec,340.49142367899486,340.49142367899486,0.0,42,3965841,95355.0,0.07
0.25,1,Qwen3-4B-FP8,H100-SXM-80GB,task,13.838303643427572,13.838303643427572,0.0,4,3718254,996848.0,0.03
0.25,1,Qwen3-4B-FP8,H100-SXM-80GB,pipe,13.33244877040415,13.332307587876091,0.001058950426465473,6,3591891,996764.0,0.06
0.25,1,Qwen3-4B-FP8,H100-SXM-80GB,fullspec,14.728641087833644,14.728641087833646,-1.2060561655396581e-14,4,3965841,996827.0,0.04
0.25,1,Qwen3-4B-FP8,L40S-48GB,task,37.19882742768353,37.19882742768354,-1.910121326112852e-14,8,3701639,562846.0,0.03
0.25,1,Qwen3-4B-FP8,L40S-48GB,pipe,35.96858884884745,35.966690115497386,0.0052791439634012555,9,3589041,562866.0,0.04
0.25,1,Qwen3-4B-FP8,L40S-48GB,fullspec,39.76532157274596,39.765321572745954,1.786840160364971e-14,8,3965841,562810.0,0.04
0.25,1,Qwen3-32B-FP8,H100-SXM-80GB,task,118.11682419669054,118.11682419669053,1.203118591432648e-14,12,3710892,339507.0,0.04
0.25,1,Qwen3-32B-FP8,H100-SXM-80GB,pipe,114.16392370859428,114.16392370859425,2.489552610590978e-14,14,3590891,339507.0,0.07
0.25,1,Qwen3-32B-FP8,H100-SXM-80GB,fullspec,126.11430700187124,126.11430700187127,-2.2536467198747156e-14,12,3965841,339489.0,0.05
0.25,1,Qwen3-32B-FP8,L40S-48GB,task,319.621496176165,319.62149617616507,-1.7784604458980992e-14,40,3719453,95367.0,0.06
0.25,1,Qwen3-32B-FP8,L40S-48GB,pipe,308.4753312273016,308.4753312273015,1.8427217059675566e-14,47,3593791,95367.0,0.08
0.25,1,Qwen3-32B-FP8,L40S-48GB,fullspec,340.49142367899486,340.49142367899486,0.0,42,3965841,95355.0,0.08
